Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
chopard_happy_hearts_18_karat_white_gold_diamond_and_mother_of_pearl_cuff,Chopard Happy Hearts 18 Karat White Gold Diamond And Mother Of Pearl Cuff,"<h2 style=""text-align: center;"">Our collection is like a sea pearl among simple stones</h2>
<p>Our devoted clients have noticed that our goods are the index of true, elegant taste. <br>We promise that high quality and fair price of our jewelry will be a pleasant surprise for you. Our precious stones and metals are really reliable and fancy. Nowadays fashion is very important for many customers and that’s why we are always in touch with the latest fashion tendencies.</p>
<p><iframe width=""1280"" height=""720"" src=""https://www.youtube.com/embed/oossOw2kkAE"" allowfullscreen="""" style=""line-height: 1.4;""></iframe></p>
<p>Only kings and emperors, priests and pirates could own the jewelry.  Ancients believed that precious stones have always had some magical power that is why jewelry was so rare and prohibitive. There are two types of jewelry – stones and metals. Obviously both of them are unique because of their appearance. It seems that our fanatic desire to have jewelry is the result of some psychological peculiarities. Remember that barbarians liked all shiny and bright things even if those were absolutely useless. Probably we have inherited this weakness. But you know that jewelry gives a feeling of freedom and identity. </p>
<p>If you want to be more elegant and stylish you should try on our goods, they are worth you.</p>
<p> You will always be popular with our jewelry; the magical shine of our products will bring you the <strong>best of luck!</strong></p>",Mesh,Ruby,Earrings,true,Title,Default Title,,,,,654654654-56,0.0,shopify,0,deny,manual,180.00,,true,false,541265746854231,https://cdn.shopify.com/s/files/1/0410/0567/8751/products/chopard_happy_hearts_18_karat_white_gold_diamond_and_mother_of_pearl_cuff_1.jpg?v=1592231134,1,,false,,,,,,,,,,,,,,,,,kg,,,active
chopard_happy_hearts_18_karat_white_gold_diamond_and_mother_of_pearl_cuff,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0410/0567/8751/products/chopard_happy_hearts_18_karat_white_gold_diamond_and_mother_of_pearl_cuff_2.jpg?v=1592231134,2,,,,,,,,,,,,,,,,,,,,,,
chopard_happy_hearts_18_karat_white_gold_diamond_and_mother_of_pearl_cuff,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0410/0567/8751/products/chopard_happy_hearts_18_karat_white_gold_diamond_and_mother_of_pearl_cuff_3.jpg?v=1592231134,3,,,,,,,,,,,,,,,,,,,,,,
chopard_happy_hearts_18_karat_white_gold_diamond_and_mother_of_pearl_cuff,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0410/0567/8751/products/chopard_happy_hearts_18_karat_white_gold_diamond_and_mother_of_pearl_cuff_4.jpg?v=1592231134,4,,,,,,,,,,,,,,,,,,,,,,
chopard_happy_hearts_18_karat_white_gold_diamond_and_mother_of_pearl_cuff,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0410/0567/8751/products/chopard_happy_hearts_18_karat_white_gold_diamond_and_mother_of_pearl_cuff_5.jpg?v=1592231134,5,,,,,,,,,,,,,,,,,,,,,,
charlotte_chesnais_wave_set_of_three_gold_and_rose_gold_vermeil_and_silver_rings,Charlotte Chesnais Wave Set Of Three Gold And Rose Gold Vermeil And Silver Rings,"<h2 style=""text-align: center;"">If you are a true fan, you’ll love it!</h2>
<p>There are two types of jewelry – stones and metals. Obviously both of them are unique because of their appearance. It seems that our fanatic desire to have jewelry is the result of some psychological peculiarities. Remember that barbarians liked all shiny and bright things even if those were absolutely useless. Probably we have inherited this weakness. But you know that jewelry gives a feeling of freedom and identity. </p>
<p>Only kings and emperors, priests and pirates could own the jewelry.  Ancients believed that precious stones have always had some magical power that is why jewelry was so rare and prohibitive. There are two types of jewelry – stones and metals. Obviously both of them are unique because of their appearance. It seems that our fanatic desire to have jewelry is the result of some psychological peculiarities. Remember that barbarians liked all shiny and bright things even if those were absolutely useless. Probably we have inherited this weakness. But you know that jewelry gives a feeling of freedom and identity. </p>
<p>If you want to be more elegant and stylish you should try on our goods, they are worth you.</p>
<p> You will always be popular with our jewelry; the magical shine of our products will bring you the <strong>best of luck!</strong></p>",Out of retirement,Platinum,Bracelets,true,Title,Default Title,,,,,327038,32600.0,shopify,100,deny,manual,350.00,399.00,true,true,555-6322-1,https://cdn.shopify.com/s/files/1/0410/0567/8751/products/charlotte_chesnais_wave_set_of_three_gold_and_rose_gold_vermeil_and_silver_rings_1.jpg?v=1592231123,1,,false,,,,,,,,,,,,,,,,,kg,,,active
charlotte_chesnais_wave_set_of_three_gold_and_rose_gold_vermeil_and_silver_rings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0410/0567/8751/products/charlotte_chesnais_wave_set_of_three_gold_and_rose_gold_vermeil_and_silver_rings_2.jpg?v=1592231123,2,,,,,,,,,,,,,,,,,,,,,,
charlotte_chesnais_wave_set_of_three_gold_and_rose_gold_vermeil_and_silver_rings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0410/0567/8751/products/charlotte_chesnais_wave_set_of_three_gold_and_rose_gold_vermeil_and_silver_rings_3.jpg?v=1592231123,3,,,,,,,,,,,,,,,,,,,,,,
charlotte_chesnais_wave_set_of_three_gold_and_rose_gold_vermeil_and_silver_rings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0410/0567/8751/products/charlotte_chesnais_wave_set_of_three_gold_and_rose_gold_vermeil_and_silver_rings_4.jpg?v=1592231123,4,,,,,,,,,,,,,,,,,,,,,,
charlotte_chesnais_wave_set_of_three_gold_and_rose_gold_vermeil_and_silver_rings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0410/0567/8751/products/charlotte_chesnais_wave_set_of_three_gold_and_rose_gold_vermeil_and_silver_rings_5.jpg?v=1592231123,5,,,,,,,,,,,,,,,,,,,,,,
