Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tommy-hilfiger-blue-ion-plated-ladies-watch,Tommy Hilfiger Blue Ion Plated Ladies Watch,"<p>Tick tock. You’ll never wonder what time it is again when you browse through all watches, including designer brands like Gucci, Daniel Wellington. From stainless steel and ceramic watch straps to leather and fabric ones, you’ll find the perfect fit for your wrist.</p>

<p>A watch is an accessory that makes you look smart and professional. This accessory is loved by both men and women. Women love wearing a watch that has an elegant and contemporary design. Today’s modern woman cannot leave for office without wearing a chic watch. Ladies’ watches are available in various designs. Watches for girls are the mode of various materials such as metal, leather, and plastic.</p>

<p>Our extensive collection of men’s and women’s watches covers every style and taste, from cutting-edge modern designs to ageless classics. Want a watch that’s both practical and fashionable? Look for straps in vibrant colors like pink, purple bright white. Watch faces with diamonds accents or larger font numbers exude fabulous, bold style, while watch straps in silver-tone or gold-tone stainless steel punctuate the suitable nuances of the watch.</p>",Emporio Armani,Diving,Activity,true,Title,Default Title,,,,,327038,32600.0,shopify,100,deny,manual,67.00,88.00,true,true,555-6322-1,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tommy_hilfiger_blue_ion_plated_ladies_watch_1_56cbdc87-c371-4429-95e3-d2230458612e.png?v=1576658085,1,,false,,,,,,,,,,,,,,,,,kg,,,active
tommy-hilfiger-blue-ion-plated-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tommy_hilfiger_blue_ion_plated_ladies_watch_2_9abc85c7-ee72-4223-ace4-af67898db6b2.png?v=1576658085,2,,,,,,,,,,,,,,,,,,,,,,
tommy-hilfiger-blue-ion-plated-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tommy_hilfiger_blue_ion_plated_ladies_watch_3_4eb5000d-4163-407a-b926-4f4de25fd50a.png?v=1576658085,3,,,,,,,,,,,,,,,,,,,,,,
tommy-hilfiger-blue-ion-plated-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tommy_hilfiger_blue_ion_plated_ladies_watch_4.png?v=1576658085,4,,,,,,,,,,,,,,,,,,,,,,
tommy-hilfiger-blue-ion-plated-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/tommy_hilfiger_blue_ion_plated_ladies_watch_5.png?v=1576658085,5,,,,,,,,,,,,,,,,,,,,,,
vivienne-westwood-montagu-black-and-rose-gold-tone-ladies-watch,Vivienne Westwood Montagu Black And Rose Gold Tone Ladies Watch,"<p>Our vast range of sports watches includes popular brands, such as Casio, G-Shock and Citizen, all packed with the special features any budding sportsman could need. If it’s versatility you’re after, our casual collection comes from fashion brands such as Diesel and Fossil and looks great in the office or out on the town.</p>

<p>For the sports enthusiast, Smart Watches are a great way to time yourself and always keep track of your steps and more. Key athletic features like water resistance, date and time, a stretchy watch strap and quartz movement make you primed to take on any sport!</p>

<p>Chronograph watches make it easy to tell time precisely, with stick indices that can tell you - down to the second - what time it is. All watches of this type are elegantly crafted, often with ceramic turning bezels that lend the watch an ornate, delicate appearance.</p>",Gucci,Chronograph,Military,true,Title,Default Title,,,,,654654654-56,0.0,shopify,0,deny,manual,52.00,,true,false,541265746854231,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/vivienne_westwood_montagu_black_and_rose_gold_tone_ladies_watch_1_39e82ecb-ac48-4193-a7bd-44f100a36c95.png?v=1576658052,1,,false,,,,,,,,,,,,,,,,,kg,,,active
vivienne-westwood-montagu-black-and-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/vivienne_westwood_montagu_black_and_rose_gold_tone_ladies_watch_2_535a8fca-2b09-41e1-aa42-8b1653639aaa.png?v=1576658052,2,,,,,,,,,,,,,,,,,,,,,,
vivienne-westwood-montagu-black-and-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/vivienne_westwood_montagu_black_and_rose_gold_tone_ladies_watch_3_f551984c-e261-4c22-9fdb-2dbb390f4c2d.png?v=1576658052,3,,,,,,,,,,,,,,,,,,,,,,
vivienne-westwood-montagu-black-and-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/vivienne_westwood_montagu_black_and_rose_gold_tone_ladies_watch_4_c434bf26-2cc6-4d5e-8c95-08737d2d8619.png?v=1576658052,4,,,,,,,,,,,,,,,,,,,,,,
vivienne-westwood-montagu-black-and-rose-gold-tone-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/vivienne_westwood_montagu_black_and_rose_gold_tone_ladies_watch_5.png?v=1576658052,5,,,,,,,,,,,,,,,,,,,,,,
olivia-burton-glasshouse-rose-gold-plated-mesh-ladies-watch,Olivia Burton Glasshouse Rose Gold Plated Mesh Ladies Watch,"<p>Our vast range of sports watches includes popular brands, such as Casio, G-Shock and Citizen, all packed with the special features any budding sportsman could need. If it’s versatility you’re after, our casual collection comes from fashion brands such as Diesel and Fossil and looks great in the office or out on the town.</p>

<p>For the sports enthusiast, Smart Watches are a great way to time yourself and always keep track of your steps and more. Key athletic features like water resistance, date and time, a stretchy watch strap and quartz movement make you primed to take on any sport!</p>

<p>Chronograph watches make it easy to tell time precisely, with stick indices that can tell you - down to the second - what time it is. All watches of this type are elegantly crafted, often with ceramic turning bezels that lend the watch an ornate, delicate appearance.</p>",Gucci,Diving,Activity,true,Title,Default Title,,,,,327038,32600.0,shopify,100,deny,manual,20.00,22.00,true,true,555-6322-1,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/olivia_burton_glasshouse_rose_gold_plated_mesh_ladies_watch_1_fcca118d-64bd-4350-b1ba-6a4b91335651.png?v=1576658021,1,,false,,,,,,,,,,,,,,,,,kg,,,active
olivia-burton-glasshouse-rose-gold-plated-mesh-ladies-watch,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0273/2346/5866/products/olivia_burton_glasshouse_rose_gold_plated_mesh_ladies_watch_2_d6edde32-dfd4-40d3-b310-732c98b34823.png?v=1576658021,2,,,,,,,,,,,,,,,,,,,,,,
